train,val,test
231211.155731.GM25256_Endoderm_24h.040.Group1.A1.S040,,230921.192752.GM25256_12hours.042.Group1.A1.S042
231211.155932.GM25256_Endoderm_24h.041.Group1.A1.S041,,230921.192954.GM25256_12hours.043.Group1.A1.S043
231211.160059.GM25256_Endoderm_24h.042.Group1.A1.S042,,230921.193102.GM25256_12hours.044.Group1.A1.S044
231211.160205.GM25256_Endoderm_24h.043.Group1.A1.S043,,230921.193208.GM25256_12hours.045.Group1.A1.S045
231211.160347.GM25256_Endoderm_24h.044.Group1.A1.S044,,230921.193310.GM25256_12hours.046.Group1.A1.S046
231211.160827.GM25256_Endoderm_24h.047.Group1.A1.S047,,230921.193817.GM25256_12hours.047.Group1.A1.S047
231211.160949.GM25256_Endoderm_24h.048.Group1.A1.S048,,230921.193937.GM25256_12hours.048.Group1.A1.S048
231211.161200.GM25256_Endoderm_24h.049.Group1.A1.S049,,230921.194523.GM25256_12hours.051.Group1.A1.S051
231211.161312.GM25256_Endoderm_24h.050.Group1.A1.S050,,230921.194809.GM25256_12hours.052.Group1.A1.S052
231211.161408.GM25256_Endoderm_24h.051.Group1.A1.S051,,230921.194926.GM25256_12hours.053.Group1.A1.S053
231211.161602.GM25256_Endoderm_24h.052.Group1.A1.S052,,230921.195205.GM25256_12hours.055.Group1.A1.S055
231211.161916.GM25256_Endoderm_24h.053.Group1.A1.S053,,230921.195326.GM25256_12hours.056.Group1.A1.S056
231211.162042.GM25256_Endoderm_24h.054.Group1.A1.S054,,230921.195535.GM25256_12hours.058.Group1.A1.S058
231211.162745.GM25256_Endoderm_24h.058.Group1.A1.S058,,230921.195638.GM25256_12hours.059.Group1.A1.S059
231211.162849.GM25256_Endoderm_24h.059.Group1.A1.S059,,230921.195906.GM25256_12hours.061.Group1.A1.S061
231211.163026.GM25256_Endoderm_24h.060.Group1.A1.S060,,230922.172144.JAX_12hours.002.Group1.A1.S002
231211.163251.GM25256_Endoderm_24h.061.Group1.A1.S061,,230922.172252.JAX_12hours.003.Group1.A1.S003
231211.163613.GM25256_Endoderm_24h.062.Group1.A1.S062,,230922.172454.JAX_12hours.004.Group1.A1.S004
231211.163747.GM25256_Endoderm_24h.063.Group1.A1.S063,,230922.172700.JAX_12hours.005.Group1.A1.S005
230425.142237.H9_untreated.002.Group1.A1.S002,,230922.172854.JAX_12hours.006.Group1.A1.S006
230425.142624.H9_untreated.004.Group1.A1.S004,,230922.173104.JAX_12hours.007.Group1.A1.S007
230425.142821.H9_untreated.005.Group1.A1.S005,,230922.173309.JAX_12hours.008.Group1.A1.S008
230425.143007.H9_untreated.006.Group1.A1.S006,,230922.173750.JAX_12hours.012.Group1.A1.S012
230425.143159.H9_untreated.007.Group1.A1.S007,,230922.173935.JAX_12hours.013.Group1.A1.S013
230425.143445.H9_untreated.008.Group1.A1.S008,,230922.174307.JAX_12hours.015.Group1.A1.S015
230425.143656.H9_untreated.009.Group1.A1.S009,,230922.174423.JAX_12hours.016.Group1.A1.S016
230425.144759.H9_untreated.012.Group1.A1.S012,,230922.174726.JAX_12hours.017.Group1.A1.S017
230425.145012.H9_untreated.013.Group1.A1.S013,,230922.174946.JAX_12hours.018.Group1.A1.S018
230425.145346.H9_untreated.014.Group1.A1.S014,,230922.175603.JAX_12hours.020.Group1.A1.S020
230425.145529.H9_untreated.015.Group1.A1.S015,,230922.175735.JAX_12hours.021.Group1.A1.S021
230425.145739.H9_untreated.016.Group1.A1.S016,,230922.181504.JAX_12hours.028.Group1.A1.S028
230425.150047.H9_untreated.017.Group1.A1.S017,,230922.181808.JAX_12hours.030.Group1.A1.S030
230425.150237.H9_untreated.018.Group1.A1.S018,,230922.182118.JAX_12hours.031.Group1.A1.S031
230425.150441.H9_untreated.019.Group1.A1.S019,,230922.182256.JAX_12hours.032.Group1.A1.S032
230425.151100.H9_untreated.022.Group1.A1.S022,,230922.182538.JAX_12hours.033.Group1.A1.S033
230425.151203.H9_untreated.023.Group1.A1.S023,,230922.182842.JAX_12hours.034.Group1.A1.S034
230425.151905.H9_untreated.024.Group1.A1.S024,,230922.183100.JAX_12hours.035.Group1.A1.S035
230425.152140.H9_untreated.025.Group1.A1.S025,,230922.183148.JAX_12hours.036.Group1.A1.S036
230425.152350.H9_untreated.026.Group1.A1.S026,,230922.184059.JAX_12hours.041.Group1.A1.S041
230425.152520.H9_untreated.027.Group1.A1.S027,,230922.184231.JAX_12hours.042.Group1.A1.S042
230425.152753.H9_untreated.028.Group1.A1.S028,,230922.184444.JAX_12hours.043.Group1.A1.S043
230425.153111.H9_untreated.029.Group1.A1.S029,,230922.185728.JAX_12hours.044.Group1.A1.S044
230425.153555.H9_untreated.032.Group1.A1.S032,,230922.190233.JAX_12hours.045.Group1.A1.S045
230425.153810.H9_untreated.033.Group1.A1.S033,,230922.190330.JAX_12hours.046.Group1.A1.S046
230425.154004.H9_untreated.034.Group1.A1.S034,,230922.190449.JAX_12hours.047.Group1.A1.S047
230425.154137.H9_untreated.035.Group1.A1.S035,,230922.190630.JAX_12hours.048.Group1.A1.S048
230425.154432.H9_untreated.036.Group1.A1.S036,,230922.191142.JAX_12hours.052.Group1.A1.S052
230425.154630.H9_untreated.037.Group1.A1.S037,,230922.191509.JAX_12hours.053.Group1.A1.S053
230425.154806.H9_untreated.038.Group1.A1.S038,,230922.191629.JAX_12hours.054.Group1.A1.S054
230425.155109.H9_untreated.039.Group1.A1.S039,,230922.191847.JAX_12hours.055.Group1.A1.S055
230425.155913.H9_untreated.042.Group1.A1.S042,,230922.192010.JAX_12hours.056.Group1.A1.S056
230425.160934.H9_untreated.043.Group1.A1.S043,,230922.192250.JAX_12hours.058.Group1.A1.S058
230425.161051.H9_untreated.044.Group1.A1.S044,,230922.192456.JAX_12hours.059.Group1.A1.S059
230425.161206.H9_untreated.045.Group1.A1.S045,,230922.192817.JAX_12hours.060.Group1.A1.S060
230425.161510.H9_untreated.047.Group1.A1.S047,,231001.230214.H9_12hours.002.Group1.A1.S002
230425.161644.H9_untreated.048.Group1.A1.S048,,231001.230304.H9_12hours.003.Group1.A1.S003
230425.161914.H9_untreated.049.Group1.A1.S049,,231001.230354.H9_12hours.004.Group1.A1.S004
230425.162045.H9_untreated.050.Group1.A1.S050,,231001.230524.H9_12hours.005.Group1.A1.S005
230425.162516.H9_untreated.053.Group1.A1.S053,,231001.230719.H9_12hours.006.Group1.A1.S006
230425.162641.H9_untreated.054.Group1.A1.S054,,231001.230841.H9_12hours.007.Group1.A1.S007
230425.162849.H9_untreated.056.Group1.A1.S056,,231001.230941.H9_12hours.008.Group1.A1.S008
230425.163042.H9_untreated.057.Group1.A1.S057,,231001.231610.H9_12hours.011.Group1.A1.S011
230425.163234.H9_untreated.058.Group1.A1.S058,,231001.231725.H9_12hours.012.Group1.A1.S012
230425.163402.H9_untreated.059.Group1.A1.S059,,231001.231833.H9_12hours.013.Group1.A1.S013
230425.163727.H9_untreated.060.Group1.A1.S060,,231001.231924.H9_12hours.014.Group1.A1.S014
230425.163940.H9_untreated.061.Group1.A1.S061,,231001.232103.H9_12hours.015.Group1.A1.S015
230426.142555.GM25256_untreated.001.Group1.A1.S001,,231001.232321.H9_12hours.016.Group1.A1.S016
230426.142755.GM25256_untreated.002.Group1.A1.S002,,231001.232555.H9_12hours.017.Group1.A1.S017
230426.142931.GM25256_untreated.003.Group1.A1.S003,,231001.232704.H9_12hours.018.Group1.A1.S018
230426.143123.GM25256_untreated.004.Group1.A1.S004,,231001.233216.H9_12hours.022.Group1.A1.S022
230426.143433.GM25256_untreated.006.Group1.A1.S006,,231001.233309.H9_12hours.023.Group1.A1.S023
230426.143540.GM25256_untreated.007.Group1.A1.S007,,231001.233450.H9_12hours.024.Group1.A1.S024
230426.143629.GM25256_untreated.008.Group1.A1.S008,,231001.233909.H9_12hours.025.Group1.A1.S025
230426.144124.GM25256_untreated.011.Group1.A1.S011,,231001.234058.H9_12hours.026.Group1.A1.S026
230426.144238.GM25256_untreated.012.Group1.A1.S012,,231001.234333.H9_12hours.028.Group1.A1.S028
230426.144502.GM25256_untreated.014.Group1.A1.S014,,231001.234418.H9_12hours.029.Group1.A1.S029
230426.144543.GM25256_untreated.015.Group1.A1.S015,,231001.234902.H9_12hours.030.Group1.A1.S030
230426.144854.GM25256_untreated.017.Group1.A1.S017,,231001.235232.H9_12hours.033.Group1.A1.S033
230426.145354.GM25256_untreated.020.Group1.A1.S020,,231001.235326.H9_12hours.034.Group1.A1.S034
230426.145716.GM25256_untreated.021.Group1.A1.S021,,231001.235411.H9_12hours.035.Group1.A1.S035
230426.150331.GM25256_untreated.023.Group1.A1.S023,,231001.235506.H9_12hours.036.Group1.A1.S036
230426.150902.GM25256_untreated.026.Group1.A1.S026,,231001.235755.H9_12hours.037.Group1.A1.S037
230426.151010.GM25256_untreated.027.Group1.A1.S027,,231001.235926.H9_12hours.038.Group1.A1.S038
230426.151324.GM25256_untreated.029.Group1.A1.S029,,231002.000224.H9_12hours.039.Group1.A1.S039
230426.151416.GM25256_untreated.030.Group1.A1.S030,,231002.000508.H9_12hours.040.Group1.A1.S040
230426.151514.GM25256_untreated.031.Group1.A1.S031,,231002.001011.H9_12hours.043.Group1.A1.S043
230426.151634.GM25256_untreated.032.Group1.A1.S032,,231002.001157.H9_12hours.044.Group1.A1.S044
230426.151853.GM25256_untreated.034.Group1.A1.S034,,231002.001445.H9_12hours.045.Group1.A1.S045
230426.151942.GM25256_untreated.035.Group1.A1.S035,,231002.001603.H9_12hours.046.Group1.A1.S046
230426.152427.GM25256_untreated.038.Group1.A1.S038,,231002.001806.H9_12hours.047.Group1.A1.S047
230426.152515.GM25256_untreated.039.Group1.A1.S039,,231002.001933.H9_12hours.048.Group1.A1.S048
230426.152632.GM25256_untreated.040.Group1.A1.S040,,231002.002124.H9_12hours.049.Group1.A1.S049
230426.152759.GM25256_untreated.041.Group1.A1.S041,,231002.002352.H9_12hours.050.Group1.A1.S050
230426.152945.GM25256_untreated.042.Group1.A1.S042,,231002.003133.H9_12hours.053.Group1.A1.S053
230426.153146.GM25256_untreated.043.Group1.A1.S043,,231002.003251.H9_12hours.054.Group1.A1.S054
230426.153808.GM25256_untreated.044.Group1.A1.S044,,231002.003451.H9_12hours.055.Group1.A1.S055
230426.153905.GM25256_untreated.045.Group1.A1.S045,,231002.003640.H9_12hours.056.Group1.A1.S056
230426.154225.GM25256_untreated.048.Group1.A1.S048,,231002.003744.H9_12hours.057.Group1.A1.S057
230426.154456.GM25256_untreated.049.Group1.A1.S049,,231002.003935.H9_12hours.058.Group1.A1.S058
230426.154700.GM25256_untreated.050.Group1.A1.S050,,231002.004042.H9_12hours.059.Group1.A1.S059
230426.154851.GM25256_untreated.051.Group1.A1.S051,,231002.004235.H9_12hours.060.Group1.A1.S060
230426.155017.GM25256_untreated.052.Group1.A1.S052,,231002.004619.H9_12hours.063.Group1.A1.S063
230426.155134.GM25256_untreated.053.Group1.A1.S053,,231003.185016.JAX_12hours.001.Group1.A1.S001
230426.155402.GM25256_untreated.055.Group1.A1.S055,,231003.185133.JAX_12hours.002.Group1.A1.S002
230426.155526.GM25256_untreated.056.Group1.A1.S056,,231003.185225.JAX_12hours.003.Group1.A1.S003
230426.160006.GM25256_untreated.059.Group1.A1.S059,,231003.185351.JAX_12hours.004.Group1.A1.S004
230426.160304.GM25256_untreated.060.Group1.A1.S060,,231003.185532.JAX_12hours.005.Group1.A1.S005
230426.160502.GM25256_untreated.061.Group1.A1.S061,,231003.185727.JAX_12hours.006.Group1.A1.S006
230426.160726.GM25256_untreated.062.Group1.A1.S062,,231003.190129.JAX_12hours.007.Group1.A1.S007
230426.161003.GM25256_untreated.063.Group1.A1.S063,,231003.190728.JAX_12hours.011.Group1.A1.S011
230427.144452.Jax_untreated.003.Group1.A1.S003,,231003.190845.JAX_12hours.012.Group1.A1.S012
230427.144840.Jax_untreated.005.Group1.A1.S005,,231003.190943.JAX_12hours.013.Group1.A1.S013
230427.145012.Jax_untreated.006.Group1.A1.S006,,231003.191106.JAX_12hours.014.Group1.A1.S014
230427.145202.Jax_untreated.007.Group1.A1.S007,,231003.191256.JAX_12hours.015.Group1.A1.S015
230427.145313.Jax_untreated.008.Group1.A1.S008,,231003.191513.JAX_12hours.016.Group1.A1.S016
230427.145623.Jax_untreated.009.Group1.A1.S009,,231003.191810.JAX_12hours.017.Group1.A1.S017
230427.145901.Jax_untreated.011.Group1.A1.S011,,231003.192025.JAX_12hours.018.Group1.A1.S018
230427.150728.Jax_untreated.018.Group1.A1.S018,,231003.192808.JAX_12hours.021.Group1.A1.S021
230427.150933.Jax_untreated.019.Group1.A1.S019,,231003.192921.JAX_12hours.022.Group1.A1.S022
230427.151023.Jax_untreated.020.Group1.A1.S020,,231003.193007.JAX_12hours.023.Group1.A1.S023
230427.151154.Jax_untreated.021.Group1.A1.S021,,231003.193515.JAX_12hours.024.Group1.A1.S024
230427.152233.Jax_untreated.025.Group1.A1.S025,,231003.193743.JAX_12hours.025.Group1.A1.S025
230427.152535.Jax_untreated.027.Group1.A1.S027,,231003.194037.JAX_12hours.027.Group1.A1.S027
230427.152630.Jax_untreated.028.Group1.A1.S028,,231003.194215.JAX_12hours.028.Group1.A1.S028
230427.153035.Jax_untreated.031.Group1.A1.S031,,231003.194346.JAX_12hours.029.Group1.A1.S029
230427.153837.Jax_untreated.037.Group1.A1.S037,,231003.195024.JAX_12hours.032.Group1.A1.S032
230427.154000.Jax_untreated.038.Group1.A1.S038,,231003.195252.JAX_12hours.033.Group1.A1.S033
230427.154235.Jax_untreated.040.Group1.A1.S040,,231003.195358.JAX_12hours.034.Group1.A1.S034
230427.154437.Jax_untreated.041.Group1.A1.S041,,231003.195603.JAX_12hours.035.Group1.A1.S035
230427.154546.Jax_untreated.042.Group1.A1.S042,,231003.200255.JAX_12hours.037.Group1.A1.S037
230427.160506.Jax_untreated.050.Group1.A1.S050,,231003.200433.JAX_12hours.038.Group1.A1.S038
230427.160615.Jax_untreated.051.Group1.A1.S051,,231003.200552.JAX_12hours.039.Group1.A1.S039
230427.161024.Jax_untreated.053.Group1.A1.S053,,231003.200658.JAX_12hours.040.Group1.A1.S040
230427.162703.Jax_untreated.064.Group1.A1.S064,,231003.202657.JAX_12hours.044.Group1.A1.S044
230713.143418.Untreated.001.Group1.A1.S001,,231003.203208.JAX_12hours.045.Group1.A1.S045
230713.143613.Untreated.002.Group1.A1.S002,,231003.203424.JAX_12hours.046.Group1.A1.S046
230713.143707.Untreated.003.Group1.A1.S003,,231003.203657.JAX_12hours.047.Group1.A1.S047
230713.143847.Untreated.004.Group1.A1.S004,,231003.204002.JAX_12hours.048.Group1.A1.S048
230713.144002.Untreated.005.Group1.A1.S005,,231003.204237.JAX_12hours.049.Group1.A1.S049
230713.144131.Untreated.006.Group1.A1.S006,,231003.204526.JAX_12hours.050.Group1.A1.S050
230713.144359.Untreated.007.Group1.A1.S007,,231003.204911.JAX_12hours.051.Group1.A1.S051
230713.144811.Untreated.010.Group1.A1.S010,,231003.205755.JAX_12hours.054.Group1.A1.S054
230713.145415.Untreated.012.Group1.A1.S012,,231003.210114.JAX_12hours.055.Group1.A1.S055
230713.145512.Untreated.013.Group1.A1.S013,,231003.210415.JAX_12hours.056.Group1.A1.S056
230713.145642.Untreated.014.Group1.A1.S014,,231003.210701.JAX_12hours.057.Group1.A1.S057
230713.145953.Untreated.016.Group1.A1.S016,,231003.210901.JAX_12hours.058.Group1.A1.S058
230713.150709.Untreated.020.Group1.A1.S020,,231003.211112.JAX_12hours.059.Group1.A1.S059
230713.151655.Untreated.022.Group1.A1.S022,,231003.211304.JAX_12hours.060.Group1.A1.S060
230713.151752.Untreated.023.Group1.A1.S023,,231003.211454.JAX_12hours.061.Group1.A1.S061
230713.152219.Untreated.026.Group1.A1.S026,,231004.162220.H9_12hours.001.Group1.A1.S001
230713.152500.Untreated.027.Group1.A1.S027,,231004.162332.H9_12hours.002.Group1.A1.S002
230713.152847.Untreated.029.Group1.A1.S029,,231004.162435.H9_12hours.003.Group1.A1.S003
230713.153347.Untreated.030.Group1.A1.S030,,231004.162637.H9_12hours.004.Group1.A1.S004
230713.153508.Untreated.031.Group1.A1.S031,,231004.162743.H9_12hours.005.Group1.A1.S005
230713.153808.Untreated.032.Group1.A1.S032,,231004.162837.H9_12hours.006.Group1.A1.S006
230713.153956.Untreated.033.Group1.A1.S033,,231004.163007.H9_12hours.007.Group1.A1.S007
230713.154120.Untreated.034.Group1.A1.S034,,231004.163522.H9_12hours.010.Group1.A1.S010
230713.154815.Untreated.037.Group1.A1.S037,,231004.163653.H9_12hours.011.Group1.A1.S011
230713.155117.Untreated.039.Group1.A1.S039,,231004.163750.H9_12hours.012.Group1.A1.S012
230713.155358.Untreated.040.Group1.A1.S040,,231004.163859.H9_12hours.013.Group1.A1.S013
230713.155530.Untreated.041.Group1.A1.S041,,231004.164129.H9_12hours.014.Group1.A1.S014
230713.155702.Untreated.042.Group1.A1.S042,,231004.164351.H9_12hours.015.Group1.A1.S015
230713.160327.Untreated.043.Group1.A1.S043,,231004.164459.H9_12hours.016.Group1.A1.S016
230713.160447.Untreated.044.Group1.A1.S044,,231004.164628.H9_12hours.017.Group1.A1.S017
230713.160711.Untreated.045.Group1.A1.S045,,231004.164936.H9_12hours.020.Group1.A1.S020
230713.161448.Untreated.048.Group1.A1.S048,,231004.165142.H9_12hours.021.Group1.A1.S021
230713.161539.Untreated.049.Group1.A1.S049,,231004.165322.H9_12hours.022.Group1.A1.S022
230713.161929.Untreated.052.Group1.A1.S052,,231004.165427.H9_12hours.023.Group1.A1.S023
230713.162106.Untreated.053.Group1.A1.S053,,231004.165531.H9_12hours.024.Group1.A1.S024
230713.162155.Untreated.054.Group1.A1.S054,,231004.165807.H9_12hours.026.Group1.A1.S026
230713.162449.Untreated.055.Group1.A1.S055,,231004.165933.H9_12hours.027.Group1.A1.S027
230713.162635.Untreated.056.Group1.A1.S056,,231004.170025.H9_12hours.028.Group1.A1.S028
230713.162838.Untreated.057.Group1.A1.S057,,231004.172643.H9_12hours.031.Group1.A1.S031
230713.163622.Untreated.061.Group1.A1.S061,,231004.172730.H9_12hours.032.Group1.A1.S032
230713.163939.Untreated.062.Group1.A1.S062,,231004.172848.H9_12hours.033.Group1.A1.S033
230713.164108.Untreated.063.Group1.A1.S063,,231004.173258.H9_12hours.036.Group1.A1.S036
230714.142443.untreated.001.Group1.A1.S001,,231004.173411.H9_12hours.037.Group1.A1.S037
230714.142659.untreated.003.Group1.A1.S003,,231004.173554.H9_12hours.038.Group1.A1.S038
230714.142749.untreated.004.Group1.A1.S004,,231004.173725.H9_12hours.039.Group1.A1.S039
230714.142837.untreated.005.Group1.A1.S005,,231004.173839.H9_12hours.040.Group1.A1.S040
230714.143213.untreated.008.Group1.A1.S008,,231004.174841.H9_12hours.044.Group1.A1.S044
230714.143443.untreated.010.Group1.A1.S010,,231004.175010.H9_12hours.045.Group1.A1.S045
230714.143645.untreated.011.Group1.A1.S011,,231004.175156.H9_12hours.046.Group1.A1.S046
230714.144537.untreated.015.Group1.A1.S015,,231004.175419.H9_12hours.047.Group1.A1.S047
230714.144654.untreated.016.Group1.A1.S016,,231004.175522.H9_12hours.048.Group1.A1.S048
230714.144826.untreated.017.Group1.A1.S017,,231004.175755.H9_12hours.049.Group1.A1.S049
230714.144917.untreated.018.Group1.A1.S018,,231004.180132.H9_12hours.050.Group1.A1.S050
230714.145051.untreated.019.Group1.A1.S019,,231004.180247.H9_12hours.051.Group1.A1.S051
230714.145225.untreated.020.Group1.A1.S020,,231004.181747.H9_12hours.054.Group1.A1.S054
230714.145416.untreated.021.Group1.A1.S021,,231004.181943.H9_12hours.055.Group1.A1.S055
230714.150138.untreated.022.Group1.A1.S022,,231004.182141.H9_12hours.056.Group1.A1.S056
230714.150606.untreated.026.Group1.A1.S026,,231004.182303.H9_12hours.057.Group1.A1.S057
230714.150842.untreated.027.Group1.A1.S027,,231004.182509.H9_12hours.058.Group1.A1.S058
230714.151057.untreated.028.Group1.A1.S028,,231004.182748.H9_12hours.059.Group1.A1.S059
230714.151419.untreated.029.Group1.A1.S029,,231004.183052.H9_12hours.060.Group1.A1.S060
230714.151554.untreated.030.Group1.A1.S030,,231004.183400.H9_12hours.061.Group1.A1.S061
230714.151733.untreated.031.Group1.A1.S031,,231011.132527.GM25256_12hours.001.Group1.A1.S001
230714.152000.untreated.032.Group1.A1.S032,,231011.132614.GM25256_12hours.002.Group1.A1.S002
230714.152129.untreated.033.Group1.A1.S033,,231011.132805.GM25256_12hours.003.Group1.A1.S003
230714.152542.untreated.036.Group1.A1.S036,,231011.132854.GM25256_12hours.004.Group1.A1.S004
230714.152810.untreated.037.Group1.A1.S037,,231011.133001.GM25256_12hours.005.Group1.A1.S005
230714.153001.untreated.038.Group1.A1.S038,,231011.133113.GM25256_12hours.006.Group1.A1.S006
230714.153112.untreated.039.Group1.A1.S039,,231011.133241.GM25256_12hours.007.Group1.A1.S007
230714.153351.untreated.040.Group1.A1.S040,,231011.133642.GM25256_12hours.010.Group1.A1.S010
230714.153616.untreated.042.Group1.A1.S042,,231011.133903.GM25256_12hours.011.Group1.A1.S011
230714.154238.untreated.043.Group1.A1.S043,,231011.134118.GM25256_12hours.012.Group1.A1.S012
230714.154349.untreated.044.Group1.A1.S044,,231011.134224.GM25256_12hours.013.Group1.A1.S013
230714.154925.untreated.047.Group1.A1.S047,,231011.134344.GM25256_12hours.014.Group1.A1.S014
230714.155306.untreated.049.Group1.A1.S049,,231011.134547.GM25256_12hours.015.Group1.A1.S015
230714.155508.untreated.050.Group1.A1.S050,,231011.135022.GM25256_12hours.016.Group1.A1.S016
230714.155617.untreated.051.Group1.A1.S051,,231011.135227.GM25256_12hours.017.Group1.A1.S017
230714.160026.untreated.052.Group1.A1.S052,,231011.135952.GM25256_12hours.020.Group1.A1.S020
230714.160112.untreated.053.Group1.A1.S053,,231011.140204.GM25256_12hours.021.Group1.A1.S021
230714.160405.untreated.054.Group1.A1.S054,,231011.140924.GM25256_12hours.022.Group1.A1.S022
230714.160534.untreated.055.Group1.A1.S055,,231011.141305.GM25256_12hours.023.Group1.A1.S023
230714.161116.untreated.058.Group1.A1.S058,,231011.141521.GM25256_12hours.024.Group1.A1.S024
230714.161335.untreated.059.Group1.A1.S059,,231011.141616.GM25256_12hours.025.Group1.A1.S025
230714.161609.untreated.060.Group1.A1.S060,,231011.141824.GM25256_12hours.026.Group1.A1.S026
230714.161743.untreated.061.Group1.A1.S061,,231011.142005.GM25256_12hours.027.Group1.A1.S027
230714.162005.untreated.062.Group1.A1.S062,,231011.142527.GM25256_12hours.030.Group1.A1.S030
230714.162202.untreated.063.Group1.A1.S063,,231011.142632.GM25256_12hours.031.Group1.A1.S031
230719.183949.Untreated.001.Group1.A1.S001,,231011.142738.GM25256_12hours.032.Group1.A1.S032
230719.184228.Untreated.002.Group1.A1.S002,,231011.142900.GM25256_12hours.033.Group1.A1.S033
230719.184325.Untreated.003.Group1.A1.S003,,231011.143406.GM25256_12hours.034.Group1.A1.S034
230719.184539.Untreated.004.Group1.A1.S004,,231011.143615.GM25256_12hours.035.Group1.A1.S035
230719.184702.Untreated.005.Group1.A1.S005,,231011.143726.GM25256_12hours.036.Group1.A1.S036
230719.184833.Untreated.006.Group1.A1.S006,,231011.143950.GM25256_12hours.037.Group1.A1.S037
230719.185005.Untreated.007.Group1.A1.S007,,231011.144955.GM25256_12hours.040.Group1.A1.S040
230719.185522.Untreated.010.Group1.A1.S010,,231011.145104.GM25256_12hours.041.Group1.A1.S041
230719.185634.Untreated.011.Group1.A1.S011,,231011.145151.GM25256_12hours.042.Group1.A1.S042
230719.185818.Untreated.012.Group1.A1.S012,,231011.153530.GM25256_12hours.043.Group1.A1.S043
230719.185920.Untreated.013.Group1.A1.S013,,231011.153732.GM25256_12hours.044.Group1.A1.S044
230719.190054.Untreated.014.Group1.A1.S014,,231011.153830.GM25256_12hours.045.Group1.A1.S045
230719.190304.Untreated.015.Group1.A1.S015,,231011.154340.GM25256_12hours.046.Group1.A1.S046
230719.190421.Untreated.016.Group1.A1.S016,,231011.154815.GM25256_12hours.047.Group1.A1.S047
230719.190515.Untreated.017.Group1.A1.S017,,231011.155338.GM25256_12hours.050.Group1.A1.S050
230719.191023.Untreated.020.Group1.A1.S020,,231011.155505.GM25256_12hours.051.Group1.A1.S051
230719.191144.Untreated.021.Group1.A1.S021,,231011.155712.GM25256_12hours.052.Group1.A1.S052
230719.191704.Untreated.022.Group1.A1.S022,,231011.155817.GM25256_12hours.053.Group1.A1.S053
230719.191832.Untreated.023.Group1.A1.S023,,231011.165152.GM25256_12hours.054.Group1.A1.S054
230719.191951.Untreated.024.Group1.A1.S024,,231011.165436.GM25256_12hours.055.Group1.A1.S055
230719.192339.Untreated.025.Group1.A1.S025,,231011.165558.GM25256_12hours.056.Group1.A1.S056
230719.192505.Untreated.026.Group1.A1.S026,,231011.165655.GM25256_12hours.057.Group1.A1.S057
230719.192625.Untreated.027.Group1.A1.S027,,231011.170544.GM25256_12hours.060.Group1.A1.S060
230719.193107.Untreated.030.Group1.A1.S030,,231011.170715.GM25256_12hours.061.Group1.A1.S061
230719.193321.Untreated.031.Group1.A1.S031,,231011.170953.GM25256_12hours.062.Group1.A1.S062
230719.193423.Untreated.032.Group1.A1.S032,,231011.171245.GM25256_12hours.063.Group1.A1.S063
230719.193543.Untreated.033.Group1.A1.S033,,230425.192632.H9_24hour_treat.001.Group1.A1.S001
230719.193654.Untreated.034.Group1.A1.S034,,230425.192756.H9_24hour_treat.002.Group1.A1.S002
230719.193800.Untreated.035.Group1.A1.S035,,230425.192845.H9_24hour_treat.003.Group1.A1.S003
230719.194038.Untreated.036.Group1.A1.S036,,230425.193147.H9_24hour_treat.005.Group1.A1.S005
230719.194138.Untreated.037.Group1.A1.S037,,230425.193317.H9_24hour_treat.006.Group1.A1.S006
230719.194616.Untreated.040.Group1.A1.S040,,230425.193437.H9_24hour_treat.007.Group1.A1.S007
230719.194843.Untreated.042.Group1.A1.S042,,230425.193643.H9_24hour_treat.008.Group1.A1.S008
230719.194938.Untreated.043.Group1.A1.S043,,230425.194201.H9_24hour_treat.011.Group1.A1.S011
230719.195342.Untreated.044.Group1.A1.S044,,230425.194353.H9_24hour_treat.012.Group1.A1.S012
230719.195454.Untreated.045.Group1.A1.S045,,230425.194728.H9_24hour_treat.013.Group1.A1.S013
230719.195546.Untreated.046.Group1.A1.S046,,230425.194926.H9_24hour_treat.014.Group1.A1.S014
230719.200632.Untreated.047.Group1.A1.S047,,230425.195132.H9_24hour_treat.015.Group1.A1.S015
230719.200944.Untreated.048.Group1.A1.S048,,230425.195304.H9_24hour_treat.016.Group1.A1.S016
230719.202729.Untreated.051.Group1.A1.S051,,230425.195533.H9_24hour_treat.017.Group1.A1.S017
230719.203044.Untreated.052.Group1.A1.S052,,230425.195912.H9_24hour_treat.019.Group1.A1.S019
230719.203621.Untreated.053.Group1.A1.S053,,230425.201409.H9_24hour_treat.022.Group1.A1.S022
230719.204258.Untreated.054.Group1.A1.S054,,230425.201543.H9_24hour_treat.023.Group1.A1.S023
230719.204522.Untreated.055.Group1.A1.S055,,230425.201804.H9_24hour_treat.024.Group1.A1.S024
230719.204735.Untreated.056.Group1.A1.S056,,230425.201944.H9_24hour_treat.025.Group1.A1.S025
230719.205008.Untreated.057.Group1.A1.S057,,230425.202143.H9_24hour_treat.026.Group1.A1.S026
230719.205307.Untreated.058.Group1.A1.S058,,230425.202343.H9_24hour_treat.027.Group1.A1.S027
230719.210848.Untreated.061.Group1.A1.S061,,230425.202434.H9_24hour_treat.028.Group1.A1.S028
230719.211227.Untreated.062.Group1.A1.S062,,230425.202553.H9_24hour_treat.029.Group1.A1.S029
